Team,Manchester Utd_21_22,Chelsea_21_22,Liverpool_21_22,Brentford_21_22,Everton_21_22,West Ham_21_22,Brighton_21_22,Leicester City_21_22,Tottenham_21_22,Watford_21_22,Aston Villa_21_22,Burnley_21_22,Manchester City_21_22,Wolves_21_22,Arsenal_21_22,Newcastle Utd_21_22,Southampton_21_22,Crystal Palace_21_22,Norwich City_21_22,Leeds United_21_22
Arsenal_18_19,5.916079783099616,4.69041575982343,4.69041575982343,4.123105625617661,4.358898943540674,5.0,3.7416573867739413,3.7416573867739413,3.7416573867739413,4.242640687119285,2.23606797749979,1.0,1.0,1.0,0.0,2.8284271247461903,1.4142135623730951,1.0,1.0,3.1622776601683795
Brighton_18_19,5.916079783099616,4.69041575982343,4.69041575982343,4.123105625617661,4.358898943540674,5.0,3.7416573867739413,3.7416573867739413,3.7416573867739413,4.242640687119285,2.23606797749979,1.0,1.0,1.0,0.0,2.8284271247461903,1.4142135623730951,1.0,1.0,3.1622776601683795
Cardiff City_18_19,5.916079783099616,4.69041575982343,4.69041575982343,4.123105625617661,4.358898943540674,5.0,3.7416573867739413,3.7416573867739413,3.7416573867739413,4.242640687119285,2.23606797749979,1.0,1.0,1.0,0.0,2.8284271247461903,1.4142135623730951,1.0,1.0,3.1622776601683795
Fulham_18_19,5.916079783099616,4.69041575982343,4.69041575982343,4.123105625617661,4.358898943540674,5.0,3.7416573867739413,3.7416573867739413,3.7416573867739413,4.242640687119285,2.23606797749979,1.0,1.0,1.0,0.0,2.8284271247461903,1.4142135623730951,1.0,1.0,3.1622776601683795
Huddersfield_18_19,6.164414002968976,5.196152422706632,5.196152422706632,4.69041575982343,4.69041575982343,5.0990195135927845,4.123105625617661,4.358898943540674,4.358898943540674,4.358898943540674,2.0,1.4142135623730951,2.0,2.0,1.0,2.23606797749979,1.0,0.0,0.0,2.23606797749979
West Ham_18_19,6.557438524302,5.830951894845301,5.830951894845301,5.385164807134504,5.196152422706632,5.385164807134504,4.69041575982343,5.0990195135927845,5.0990195135927845,4.69041575982343,2.23606797749979,2.23606797749979,3.0,3.0,2.0,2.0,1.4142135623730951,1.0,1.0,1.4142135623730951
Manchester City_19_20,1.0,2.0,2.0,3.0,2.23606797749979,2.23606797749979,3.1622776601683795,4.0,4.0,2.8284271247461903,5.196152422706632,5.385164807134504,5.916079783099616,5.916079783099616,6.164414002968976,5.830951894845301,5.830951894845301,6.557438524302,6.557438524302,7.0710678118654755
Manchester Utd_19_20,1.4142135623730951,1.0,1.0,2.0,1.4142135623730951,2.0,2.23606797749979,3.0,3.0,2.23606797749979,4.69041575982343,4.69041575982343,5.0990195135927845,5.0990195135927845,5.385164807134504,5.385164807134504,5.196152422706632,5.830951894845301,5.830951894845301,6.557438524302
Brighton_19_20,2.23606797749979,0.0,0.0,1.0,1.0,2.23606797749979,1.4142135623730951,2.0,2.0,2.0,4.358898943540674,4.123105625617661,4.358898943540674,4.358898943540674,4.69041575982343,5.0990195135927845,4.69041575982343,5.196152422706632,5.196152422706632,6.164414002968976
Burnley_19_20,2.23606797749979,0.0,0.0,1.0,1.0,2.23606797749979,1.4142135623730951,2.0,2.0,2.0,4.358898943540674,4.123105625617661,4.358898943540674,4.358898943540674,4.69041575982343,5.0990195135927845,4.69041575982343,5.196152422706632,5.196152422706632,6.164414002968976
Liverpool_19_20,1.0,1.4142135623730951,1.4142135623730951,2.23606797749979,1.0,1.0,2.0,3.1622776601683795,3.1622776601683795,1.4142135623730951,4.123105625617661,4.358898943540674,5.0,5.0,5.0990195135927845,4.69041575982343,4.69041575982343,5.385164807134504,5.385164807134504,5.830951894845301
Tottenham_19_20,2.0,1.0,1.0,1.4142135623730951,0.0,1.4142135623730951,1.0,2.23606797749979,2.23606797749979,1.0,3.7416573867739413,3.7416573867739413,4.242640687119285,4.242640687119285,4.358898943540674,4.358898943540674,4.123105625617661,4.69041575982343,4.69041575982343,5.385164807134504
Arsenal_19_20,4.123105625617661,2.0,2.0,1.0,2.23606797749979,3.605551275463989,1.4142135623730951,0.0,0.0,2.8284271247461903,4.358898943540674,3.605551275463989,3.3166247903554,3.3166247903554,3.7416573867739413,5.0990195135927845,4.242640687119285,4.358898943540674,4.358898943540674,5.830951894845301
Bournemouth_19_20,4.47213595499958,3.0,3.0,2.449489742783178,2.8284271247461903,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,2.449489742783178,2.449489742783178,4.123105625617661
Crystal Palace_19_20,5.477225575051661,3.605551275463989,3.605551275463989,2.8284271247461903,3.7416573867739413,4.898979485566356,3.0,2.23606797749979,2.23606797749979,4.123105625617661,3.7416573867739413,2.449489742783178,1.4142135623730951,1.4142135623730951,2.23606797749979,4.58257569495584,3.3166247903554,3.1622776601683795,3.1622776601683795,5.196152422706632
Everton_19_20,5.477225575051661,3.605551275463989,3.605551275463989,2.8284271247461903,3.7416573867739413,4.898979485566356,3.0,2.23606797749979,2.23606797749979,4.123105625617661,3.7416573867739413,2.449489742783178,1.4142135623730951,1.4142135623730951,2.23606797749979,4.58257569495584,3.3166247903554,3.1622776601683795,3.1622776601683795,5.196152422706632
Leicester City_19_20,5.477225575051661,3.605551275463989,3.605551275463989,2.8284271247461903,3.7416573867739413,4.898979485566356,3.0,2.23606797749979,2.23606797749979,4.123105625617661,3.7416573867739413,2.449489742783178,1.4142135623730951,1.4142135623730951,2.23606797749979,4.58257569495584,3.3166247903554,3.1622776601683795,3.1622776601683795,5.196152422706632
Sheffield Utd_19_20,4.47213595499958,3.0,3.0,2.449489742783178,2.8284271247461903,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,2.449489742783178,2.449489742783178,4.123105625617661
Wolves_19_20,5.477225575051661,3.605551275463989,3.605551275463989,2.8284271247461903,3.7416573867739413,4.898979485566356,3.0,2.23606797749979,2.23606797749979,4.123105625617661,3.7416573867739413,2.449489742783178,1.4142135623730951,1.4142135623730951,2.23606797749979,4.58257569495584,3.3166247903554,3.1622776601683795,3.1622776601683795,5.196152422706632
Newcastle Utd_19_20,5.830951894845301,4.358898943540674,4.358898943540674,3.7416573867739413,4.242640687119285,5.0990195135927845,3.605551275463989,3.3166247903554,3.3166247903554,4.358898943540674,2.8284271247461903,1.4142135623730951,0.0,0.0,1.0,3.605551275463989,2.23606797749979,2.0,2.0,4.123105625617661
Aston Villa_19_20,5.385164807134504,4.69041575982343,4.69041575982343,4.358898943540674,4.123105625617661,4.358898943540674,3.7416573867739413,4.242640687119285,4.242640687119285,3.7416573867739413,1.0,1.0,2.23606797749979,2.23606797749979,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,2.0
Norwich City_19_20,5.830951894845301,5.385164807134504,5.385164807134504,5.0990195135927845,4.69041575982343,4.69041575982343,4.358898943540674,5.0,5.0,4.123105625617661,1.4142135623730951,2.0,3.1622776601683795,3.1622776601683795,2.23606797749979,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0
Southampton_19_20,6.164414002968976,5.196152422706632,5.196152422706632,4.69041575982343,4.69041575982343,5.0990195135927845,4.123105625617661,4.358898943540674,4.358898943540674,4.358898943540674,2.0,1.4142135623730951,2.0,2.0,1.0,2.23606797749979,1.0,0.0,0.0,2.23606797749979
Watford_19_20,6.164414002968976,5.196152422706632,5.196152422706632,4.69041575982343,4.69041575982343,5.0990195135927845,4.123105625617661,4.358898943540674,4.358898943540674,4.358898943540674,2.0,1.4142135623730951,2.0,2.0,1.0,2.23606797749979,1.0,0.0,0.0,2.23606797749979
