Team,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,Everton_21_22,Manchester City_21_22,Brighton_21_22,Tottenham_21_22,West Ham_21_22,Leicester City_21_22,Brentford_21_22,Crystal Palace_21_22,Aston Villa_21_22,Wolves_21_22,Southampton_21_22,Watford_21_22,Arsenal_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Everton_18_19,6.708203932499369,6.708203932499369,6.4031242374328485,5.385164807134504,7.0710678118654755,4.69041575982343,5.830951894845301,3.7416573867739413,3.0,5.744562646538029,2.449489742783178,3.0,6.557438524302,4.242640687119285,5.0990195135927845,7.3484692283495345,7.0710678118654755,6.708203932499369,8.06225774829855,9.848857801796104
Leicester City_18_19,6.4031242374328485,6.4031242374328485,6.708203932499369,5.744562646538029,7.0710678118654755,3.7416573867739413,4.69041575982343,4.47213595499958,2.23606797749979,4.358898943540674,1.4142135623730951,3.0,5.385164807134504,3.7416573867739413,4.69041575982343,7.0710678118654755,7.483314773547883,6.557438524302,8.660254037844387,9.848857801796104
Arsenal_18_19,8.12403840463596,8.12403840463596,7.0710678118654755,6.0,8.18535277187245,6.557438524302,7.681145747868608,4.123105625617661,4.47213595499958,7.874007874011811,4.358898943540674,3.7416573867739413,8.366600265340756,5.385164807134504,5.916079783099616,7.681145747868608,6.4031242374328485,7.0710678118654755,7.0710678118654755,9.695359714832659
Manchester Utd_18_19,7.810249675906654,7.810249675906654,7.54983443527075,6.4031242374328485,8.366600265340756,5.0990195135927845,5.830951894845301,4.898979485566356,2.23606797749979,5.916079783099616,2.449489742783178,2.23606797749979,6.4031242374328485,3.7416573867739413,4.242640687119285,6.164414002968976,6.0,5.916079783099616,7.14142842854285,8.774964387392123
Wolves_18_19,8.12403840463596,8.12403840463596,8.831760866327848,7.874007874011811,9.0,4.58257569495584,4.58257569495584,6.708203932499369,1.4142135623730951,3.1622776601683795,1.0,2.449489742783178,3.4641016151377544,2.23606797749979,3.0,5.385164807134504,6.708203932499369,5.0990195135927845,8.12403840463596,8.366600265340756
Southampton_18_19,8.366600265340756,8.366600265340756,9.273618495495704,8.48528137423857,9.1104335791443,5.196152422706632,5.196152422706632,7.280109889280518,2.8284271247461903,2.449489742783178,1.7320508075688772,3.1622776601683795,2.449489742783178,2.23606797749979,3.3166247903554,5.916079783099616,7.280109889280518,5.0990195135927845,8.602325267042627,8.602325267042627
Brighton_18_19,9.38083151964686,9.38083151964686,9.38083151964686,8.366600265340756,9.848857801796104,6.4031242374328485,6.708203932499369,6.708203932499369,2.449489742783178,5.477225575051661,2.23606797749979,0.0,5.0990195135927845,1.7320508075688772,2.23606797749979,4.58257569495584,4.58257569495584,3.7416573867739413,5.830951894845301,6.928203230275509
Fulham_18_19,10.198039027185569,10.198039027185569,9.38083151964686,8.366600265340756,10.246950765959598,8.06225774829855,8.774964387392123,6.4031242374328485,4.69041575982343,8.12403840463596,4.58257569495584,2.8284271247461903,7.874007874011811,4.358898943540674,4.58257569495584,6.082762530298219,4.123105625617661,5.0990195135927845,4.69041575982343,7.483314773547883
Crystal Palace_18_19,10.488088481701515,10.488088481701515,11.045361017187261,10.099504938362077,11.180339887498949,7.0,6.708203932499369,8.660254037844387,3.1622776601683795,4.47213595499958,3.0,2.449489742783178,3.1622776601683795,1.0,1.0,3.605551275463989,5.196152422706632,2.8284271247461903,6.6332495807108,6.164414002968976
Cardiff City_18_19,11.357816691600547,11.357816691600547,12.206555615733702,11.357816691600547,12.083045973594572,7.874007874011811,7.3484692283495345,10.0,4.58257569495584,4.358898943540674,4.242640687119285,4.123105625617661,2.23606797749979,2.449489742783178,2.449489742783178,4.242640687119285,6.324555320336759,3.3166247903554,7.681145747868608,6.4031242374328485
